,2021,2020
1,No,Yes
2,No,Yes
3,No,Yes
4,No,No
5,No,No
6,No,Yes
7,No,No
8,No,Yes
9,No,No
10,Yes,No
11,No,Yes
12,Yes,No
13,No,No
14,Yes,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,Yes,No
24,No,Yes
25,Yes,No
26,No,Yes
27,Yes,No
28,Yes,Yes
29,Yes,Yes
30,Yes,No
31,No,Yes
32,No,No
33,Yes,No
34,Yes,No
35,No,No
36,No,No
37,No,No
38,No,No
39,No,Yes
40,No,No
41,No,No
42,No,No
43,No,No
44,No,No
45,No,No
46,Yes,Yes
47,No,No
48,Yes,No
49,No,No
50,No,No
51,Yes,No
52,No,No
53,No,No
54,No,Yes
55,Yes,No
56,Yes,No
57,No,No
58,No,No
59,No,No
60,No,No
61,No,No
62,No,No
63,Yes,No
64,No,No
65,No,No
66,Yes,No
67,Yes,No
68,Yes,No
69,No,Yes
70,No,No
71,Yes,No
72,No,No
73,No,No
74,Yes,No
75,No,No
76,Yes,No
77,No,No
78,No,Yes
79,Yes,No
80,Yes,No
81,No,No
82,No,No
83,No,No
84,No,No
85,No,No
86,Yes,No
87,Yes,No
88,Yes,No
89,No,No
90,No,No
91,No,No
92,No,No
93,Yes,No
94,Yes,No
95,Yes,No
96,Yes,No
97,No,No
98,No,No
99,No,No
100,No,No
101,Yes,Yes
102,No,No
103,No,No
104,Yes,Yes
105,Yes,No
106,No,No
107,Yes,No
108,No,No
109,No,No
110,No,No
111,No,Yes
112,Yes,No
113,Yes,No
114,Yes,No
115,Yes,Yes
116,Yes,No
117,No,No
118,No,Yes
119,Yes,No
120,Yes,No
121,No,Yes
122,No,Yes
123,No,No
124,Yes,No
125,No,Yes
126,No,Yes
127,No,Yes
128,No,Yes
129,Yes,Yes
130,Yes,Yes
131,No,Yes
132,No,Yes
133,No,Yes
134,Yes,Yes
135,No,Yes
136,No,Yes
137,No,Yes
138,Yes,Yes
139,No,Yes
140,No,Yes
141,No,Yes
142,No,Yes
143,No,Yes
144,No,Yes
145,No,Yes
146,No,Yes
147,No,Yes
148,No,Yes
149,No,Yes
150,No,Yes
151,No,Yes
152,No,Yes
